;Date;Week_day;Open;Close;Change
38;8/02/22;Tuesday; 43,597.45 ; 44,271.95 ;1.55%
39;9/02/22;Wednesday; 43,975.65 ; 44,765.18 ;1.80%
40;10/02/22;Thursday; 43,523.00 ; 44,102.40 ;1.33%
41;11/02/22;Friday; 43,598.64 ; 42,338.66 ;-2.89%
42;12/02/22;Saturday; 42,057.06 ; 42,622.67 ;1.34%
43;13/02/22;Sunday; 42,487.00 ; 42,441.44 ;-0.11%
44;14/02/22;Monday; 42,653.83 ; 42,180.50 ;-1.11%
45;15/02/22;Tuesday; 44,253.37 ; 44,140.76 ;-0.25%
46;16/02/22;Wednesday; 43,642.83 ; 44,093.62 ;1.03%
47;17/02/22;Thursday; 42,159.51 ; 40,882.85 ;-3.03%
48;18/02/22;Friday; 40,363.61 ; 40,025.79 ;-0.84%
49;19/02/22;Saturday; 39,872.98 ; 40,061.87 ;0.47%
50;20/02/22;Sunday; 38,185.99 ; 38,317.72 ;0.34%
51;21/02/22;Monday; 38,596.50 ; 38,249.99 ;-0.90%
52;22/02/22;Tuesday; 37,520.39 ; 37,908.98 ;1.04%
53;23/02/22;Wednesday; 38,910.00 ; 37,677.98 ;-3.17%
54;24/02/22;Thursday; 35,300.26 ; 38,418.97 ;8.83%
55;25/02/22;Friday; 39,251.59 ; 39,109.06 ;-0.36%
56;26/02/22;Saturday; 39,124.44 ; 39,322.55 ;0.51%
57;27/02/22;Sunday; 38,910.36 ; 37,966.60 ;-2.43%
58;28/02/22;Monday; 38,992.97 ; 41,908.07 ;7.48%
59;1/03/22;Tuesday; 44,435.86 ; 44,084.63 ;-0.79%
60;2/03/22;Wednesday; 43,730.00 ; 43,803.31 ;0.17%
61;3/03/22;Thursday; 43,814.33 ; 42,030.31 ;-4.07%
62;4/03/22;Friday; 41,337.54 ; 39,469.36 ;-4.52%
63;5/03/22;Saturday; 39,050.41 ; 39,451.91 ;1.03%
64;6/03/22;Sunday; 38,760.21 ; 38,854.99 ;0.24%
65;7/03/22;Monday; 39,212.66 ; 37,590.01 ;-4.14%
66;8/03/22;Tuesday; 38,733.28 ; 38,512.51 ;-0.57%
67;9/03/22;Wednesday; 42,121.86 ; 41,841.64 ;-0.67%
68;10/03/22;Thursday; 39,067.56 ; 39,612.11 ;1.39%
69;11/03/22;Friday; 39,411.97 ; 38,364.90 ;-2.66%
70;12/03/22;Saturday; 39,036.25 ; 39,128.08 ;0.24%
71;13/03/22;Sunday; 38,886.02 ; 38,683.99 ;-0.52%
72;14/03/22;Monday; 38,975.60 ; 38,723.35 ;-0.65%
73;15/03/22;Tuesday; 39,030.54 ; 39,432.05 ;1.03%
74;16/03/22;Wednesday; 40,925.01 ; 41,246.00 ;0.78%
75;17/03/22;Thursday; 41,014.09 ; 40,696.52 ;-0.77%
76;18/03/22;Friday; 40,748.00 ; 41,720.01 ;2.39%
77;19/03/22;Saturday; 41,747.48 ; 42,191.28 ;1.06%
78;20/03/22;Sunday; 41,495.86 ; 41,283.14 ;-0.51%
79;21/03/22;Monday; 40,843.99 ; 41,120.01 ;0.68%
80;22/03/22;Tuesday; 42,947.85 ; 42,588.59 ;-0.84%
81;23/03/22;Wednesday; 42,282.51 ; 42,349.72 ;0.16%
82;24/03/22;Thursday; 42,959.10 ; 43,869.99 ;2.12%
83;25/03/22;Friday; 44,875.26 ; 44,550.51 ;-0.72%
84;26/03/22;Saturday; 44,226.89 ; 44,571.92 ;0.78%
85;27/03/22;Sunday; 44,714.79 ; 46,115.80 ;3.13%
86;28/03/22;Monday; 47,568.50 ; 47,934.68 ;0.77%
87;29/03/22;Tuesday; 47,789.00 ; 47,477.84 ;-0.65%
88;30/03/22;Wednesday; 47,110.86 ; 47,258.88 ;0.31%
89;31/03/22;Thursday; 46,353.61 ; 45,745.46 ;-1.31%
90;1/04/22;Friday; 45,628.24 ; 46,145.38 ;1.13%
91;2/04/22;Saturday; 46,705.83 ; 46,181.06 ;-1.12%
92;3/04/22;Sunday; 46,379.50 ; 46,365.02 ;-0.03%
93;4/04/22;Monday; 46,122.00 ; 46,307.50 ;0.40%
94;5/04/22;Tuesday; 45,933.99 ; 45,877.97 ;-0.12%
