,Date,Week_day,Open,Close,Change
139,2022-05-20,Friday,30256.74,28930.5,-0.04383287822812376
140,2022-05-21,Saturday,29423.18,29535.16,0.003805842876262844
141,2022-05-22,Sunday,29441.78,29864.58,0.014360544776844453
142,2022-05-23,Monday,30457.01,30425.61,-0.0010309613451877642
143,2022-05-24,Tuesday,29404.54,29354.72,-0.0016942961869153006
144,2022-05-25,Wednesday,29701.47,29529.8,-0.005779848606819904
145,2022-05-26,Thursday,29733.71,29704.02,-0.0009985299513581847
146,2022-05-27,Friday,28993.0,28722.0,-0.00934708377884319
147,2022-05-28,Saturday,28885.71,29031.0,0.0050298227047214095
148,2022-05-29,Sunday,29008.35,29306.17,0.010266699071129537
149,2022-05-30,Monday,30636.12,30654.76,0.0006084321382733293
150,2022-05-31,Tuesday,31573.76,32098.78,0.016628364819394337
151,2022-06-01,Wednesday,31482.42,30404.82,-0.03422862664305981
152,2022-06-02,Thursday,29968.27,30260.69,0.009757653678373668
153,2022-06-03,Friday,30443.7,29463.77,-0.032188268837230694
154,2022-06-04,Saturday,29700.96,29774.33,0.0024702905225959526
155,2022-06-05,Sunday,29645.68,29853.99,0.007026656160358025
156,2022-06-06,Monday,31292.76,31287.73,-0.0001607400561662864
157,2022-06-07,Tuesday,29585.12,29827.0,0.008175731583985435
158,2022-06-08,Wednesday,30561.77,30439.94,-0.003986352884666089
159,2022-06-09,Thursday,30487.53,30215.02,-0.00893840858869177
160,2022-06-10,Friday,30052.44,28971.77,-0.03595947616898987
161,2022-06-11,Saturday,29326.83,28314.4,-0.0345223128445864
162,2022-06-12,Sunday,27645.88,27997.6,0.012722329692525625
163,2022-06-13,Monday,24811.59,23901.73,-0.03667076555754789
164,2022-06-14,Tuesday,22877.52,22679.74,-0.008645167832876943
165,2022-06-15,Wednesday,20722.92,21210.54,0.023530467714009573
166,2022-06-16,Thursday,21764.18,21092.3,-0.030870908070049108
167,2022-06-17,Friday,21100.65,20680.79,-0.019897965228559356
168,2022-06-18,Saturday,19258.58,19066.55,-0.009971140135981105
169,2022-06-19,Sunday,18307.39,19625.16,0.07198022219442524
170,2022-06-20,Monday,20086.62,20527.66,0.021956904645978215
