,Date,Week_day,Open,Close,Change
74,2022-03-16,Wednesday,40925.01,41246.0,0.007843370105468539
75,2022-03-17,Thursday,41014.09,40696.52,-0.00774294882563531
76,2022-03-18,Friday,40748.0,41720.01,0.02385417689211744
77,2022-03-19,Saturday,41747.48,42191.28,0.010630581774037529
78,2022-03-20,Sunday,41495.86,41283.14,-0.005126294526731079
79,2022-03-21,Monday,40843.99,41120.01,0.0067579097928485155
80,2022-03-22,Tuesday,42947.85,42588.59,-0.008365028749984016
81,2022-03-23,Wednesday,42282.51,42349.72,0.0015895461267554367
82,2022-03-24,Thursday,42959.1,43869.99,0.02120365650118372
83,2022-03-25,Friday,44875.26,44550.51,-0.00723672687356014
84,2022-03-26,Saturday,44226.89,44571.92,0.007801362474277429
85,2022-03-27,Sunday,44714.79,46115.8,0.03133213865032136
86,2022-03-28,Monday,47568.5,47934.68,0.0076979513753849815
87,2022-03-29,Tuesday,47789.0,47477.84,-0.0065111218062734455
88,2022-03-30,Wednesday,47110.86,47258.88,0.003141950709454111
89,2022-03-31,Thursday,46353.61,45745.46,-0.013119798004945116
90,2022-04-01,Friday,45628.24,46145.38,0.011333770489503792
91,2022-04-02,Saturday,46705.83,46181.06,-0.011235642317029892
92,2022-04-03,Sunday,46379.5,46365.02,-0.0003122069017562623
93,2022-04-04,Monday,46122.0,46307.5,0.004021941806513052
94,2022-04-05,Tuesday,45933.99,45877.97,-0.0012195761787729964
95,2022-04-06,Wednesday,44163.42,43877.45,-0.00647526844614843
96,2022-04-07,Thursday,43498.87,43567.36,0.0015745236600399615
97,2022-04-08,Friday,43550.12,42798.74,-0.01725322456057532
98,2022-04-09,Saturday,42425.5,42423.18,-5.468409329290047e-05
99,2022-04-10,Sunday,42640.0,43101.23,0.010816838649155835
100,2022-04-11,Monday,40842.57,39838.26,-0.024589784629125866
101,2022-04-12,Tuesday,39854.35,39519.99,-0.008389548443269113
102,2022-04-13,Wednesday,40576.94,41241.16,0.016369396016555182
103,2022-04-14,Thursday,40475.21,39909.99,-0.013964597095357911
104,2022-04-15,Friday,39989.89,40396.69,0.010172571117349927
105,2022-04-16,Saturday,40486.01,40280.0,-0.005088424371776923
106,2022-04-17,Sunday,40378.03,40263.19,-0.0028441209241757415
107,2022-04-18,Monday,39409.05,40664.26,0.03185080584282041
108,2022-04-19,Tuesday,41524.06,41293.15,-0.005560872419507978
109,2022-04-20,Wednesday,41612.29,41413.27,-0.004782721643053156
110,2022-04-21,Thursday,42611.04,40609.25,-0.04697820095449445
111,2022-04-22,Friday,39887.14,39623.54,-0.006608646295522824
112,2022-04-23,Saturday,39662.42,39794.24,0.0033235490925667133
113,2022-04-24,Sunday,39478.09,39500.0,0.0005549913888944769
114,2022-04-25,Monday,38985.08,40185.34,0.030787675695419736
115,2022-04-26,Tuesday,39686.82,38129.14,-0.039249302413244536
116,2022-04-27,Wednesday,38574.35,39099.99,0.01362667160950215
117,2022-04-28,Thursday,38979.99,39870.0,0.022832484051432678
118,2022-04-29,Friday,38937.07,38564.44,-0.009570057531293363
119,2022-04-30,Saturday,38394.46,38326.45,-0.001771349304040326
120,2022-05-01,Sunday,37931.24,38313.23,0.010070590890253195
121,2022-05-02,Monday,38964.04,38316.36,-0.016622506290415506
122,2022-05-03,Tuesday,38333.81,37785.8,-0.01429573527911765
123,2022-05-04,Wednesday,38856.96,39811.15,0.024556475854004
124,2022-05-05,Thursday,38643.34,36466.44,-0.05633312234397947
125,2022-05-06,Friday,35818.45,36082.53,0.00737273667621019
126,2022-05-07,Saturday,35921.97,35785.69,-0.0037937785706073646
127,2022-05-08,Sunday,34468.35,34229.76,-0.006922002358685453
128,2022-05-09,Monday,32774.2,30954.25,-0.05552995954134643
