Date,Week_day,Market,Start,Finish,Open,Close,Change,Change_pct,Volume
2018-01-30,Tuesday,tokyo,02:00:00,07:59:59,10949.99,11118.99,169.0,0.0154338040491361,3977.516147
2018-01-30,Tuesday,london,08:00:00,14:29:59,11119.0,10613.46,-505.5400000000009,-0.0454663189135714,6504.757929
2018-01-30,Tuesday,new_york,14:30:00,20:59:59,10624.65,10174.21,-450.4400000000005,-0.0423957495070426,8486.555505
2018-01-31,Wednesday,tokyo,02:00:00,07:59:59,9967.47,10280.0,312.53000000000065,0.0313549978078691,6515.797159
2018-01-31,Wednesday,london,08:00:00,14:29:59,10280.0,10111.29,-168.70999999999913,-0.0164114785992216,6536.407451
2018-01-31,Wednesday,new_york,14:30:00,20:59:59,10111.29,10185.58,74.28999999999905,0.0073472326478618,9742.076953999998
2018-02-01,Thursday,tokyo,02:00:00,07:59:59,10249.43,10063.75,-185.6800000000003,-0.018116129384756,10474.530521
2018-02-01,Thursday,london,08:00:00,14:29:59,10063.75,9445.16,-618.5900000000001,-0.0614671469382686,12163.070434999998
2018-02-01,Thursday,new_york,14:30:00,20:59:59,9445.16,9399.96,-45.20000000000073,-0.0047855197794426,8782.032411000002
2018-02-02,Friday,tokyo,02:00:00,07:59:59,8768.28,8673.11,-95.17000000000009,-0.0108538960890847,9538.743157
2018-02-02,Friday,london,08:00:00,14:29:59,8673.11,8749.98,76.86999999999898,0.008863026065621,10498.059357000002
2018-02-02,Friday,new_york,14:30:00,20:59:59,8739.46,8668.0,-71.45999999999913,-0.008176706569971,8121.4352100000015
2018-02-03,Saturday,tokyo,02:00:00,07:59:59,8650.01,8708.82,58.80999999999949,0.0067988360707096,6989.342000999999
2018-02-03,Saturday,london,08:00:00,14:29:59,8708.82,9345.0,636.1800000000003,0.073050080263457,9106.087788
2018-02-03,Saturday,new_york,14:30:00,20:59:59,9344.97,9298.75,-46.21999999999935,-0.0049459762845679,11104.078594
2018-02-04,Sunday,tokyo,02:00:00,07:59:59,8920.0,9200.0,280.0,0.031390134529148,16071.349732
2018-02-04,Sunday,london,08:00:00,14:29:59,9200.0,8756.09,-443.9099999999999,-0.0482510869565216,18614.051405
2018-02-04,Sunday,new_york,14:30:00,20:59:59,8756.11,8204.02,-552.0900000000001,-0.063051971708898,18633.706262
2018-02-05,Monday,tokyo,02:00:00,07:59:59,8104.07,7965.01,-139.0599999999995,-0.0171592792263639,18511.533274
2018-02-05,Monday,london,08:00:00,14:29:59,7965.01,7335.05,-629.96,-0.0790909239285324,21541.290172
2018-02-05,Monday,new_york,14:30:00,20:59:59,7335.05,7188.38,-146.67000000000007,-0.0199957737166072,21995.276077
2018-02-06,Tuesday,tokyo,02:00:00,07:59:59,6446.16,6043.0,-403.1599999999999,-0.0625426610571254,20058.686637
